"National Life Tables, England",,,,,,,,,,Back to contents,
,,,,,,,,,,,
Period expectation of life,,,,,,,,,,Office for National Statistics,
Based on data for the years 2016-2018,,,,,,,,,,,
,,,,,,,,,,,
Age,Males,,,,,,Females,,,,
x,mx,qx,lx,dx,ex,,mx,qx,lx,dx,ex
0,0.004297,0.004288,100000.0,428.8,79.56,,0.003598,0.003592,100000.0,359.2,83.18
1,0.000257,0.000257,99571.2,25.6,78.90,,0.000228,0.000228,99640.8,22.8,82.48
2,0.000129,0.000129,99545.7,12.9,77.92,,0.000128,0.000128,99618.1,12.8,81.50
3,0.000118,0.000118,99532.8,11.8,76.93,,0.000096,0.000096,99605.3,9.5,80.51
4,0.000095,0.000095,99521.0,9.4,75.94,,0.000071,0.000071,99595.8,7.1,79.52
5,0.000095,0.000095,99511.6,9.5,74.94,,0.000072,0.000072,99588.7,7.2,78.53
6,0.000067,0.000067,99502.1,6.7,73.95,,0.000070,0.000070,99581.5,7.0,77.53
7,0.000079,0.000079,99495.4,7.8,72.96,,0.000063,0.000063,99574.5,6.3,76.54
8,0.000066,0.000066,99487.6,6.6,71.96,,0.000058,0.000058,99568.2,5.8,75.54
9,0.000072,0.000072,99481.0,7.1,70.97,,0.000063,0.000063,99562.4,6.3,74.55
10,0.000072,0.000072,99473.8,7.1,69.97,,0.000061,0.000061,99556.1,6.1,73.55
11,0.000086,0.000086,99466.7,8.6,68.98,,0.000074,0.000074,99550.0,7.3,72.56
12,0.000099,0.000099,99458.2,9.8,67.98,,0.000066,0.000066,99542.7,6.6,71.56
13,0.000106,0.000106,99448.3,10.5,66.99,,0.000074,0.000074,99536.2,7.4,70.57
14,0.000131,0.000131,99437.8,13.0,66.00,,0.000091,0.000091,99528.7,9.0,69.57
15,0.000176,0.000176,99424.8,17.5,65.00,,0.000107,0.000107,99519.7,10.7,68.58
16,0.000225,0.000225,99407.3,22.4,64.02,,0.000146,0.000146,99509.0,14.5,67.58
17,0.000304,0.000303,99384.9,30.2,63.03,,0.000150,0.000150,99494.5,14.9,66.59
18,0.000391,0.000391,99354.8,38.9,62.05,,0.000204,0.000204,99479.5,20.3,65.60
19,0.000411,0.000411,99315.9,40.8,61.07,,0.000187,0.000187,99459.2,18.6,64.62
20,0.000485,0.000485,99275.1,48.1,60.10,,0.000190,0.000190,99440.6,18.9,63.63
21,0.000489,0.000489,99227.0,48.6,59.13,,0.000213,0.000213,99421.7,21.2,62.64
22,0.000483,0.000483,99178.4,47.9,58.16,,0.000204,0.000204,99400.5,20.2,61.66
23,0.000487,0.000487,99130.5,48.3,57.18,,0.000196,0.000196,99380.2,19.5,60.67
24,0.000515,0.000515,99082.2,51.0,56.21,,0.000210,0.000210,99360.7,20.8,59.68
25,0.000540,0.000540,99031.2,53.5,55.24,,0.000252,0.000252,99339.9,25.0,58.69
26,0.000548,0.000548,98977.8,54.2,54.27,,0.000249,0.000249,99314.9,24.7,57.71
27,0.000560,0.000560,98923.5,55.4,53.30,,0.000269,0.000269,99290.1,26.7,56.72
28,0.000628,0.000628,98868.1,62.1,52.33,,0.000315,0.000315,99263.4,31.2,55.74
29,0.000653,0.000653,98806.0,64.5,51.36,,0.000304,0.000304,99232.2,30.2,54.75
30,0.000692,0.000692,98741.5,68.3,50.39,,0.000364,0.000364,99202.0,36.1,53.77
31,0.000771,0.000770,98673.2,76.0,49.43,,0.000370,0.000370,99165.9,36.7,52.79
32,0.000776,0.000776,98597.2,76.5,48.47,,0.000464,0.000464,99129.2,46.0,51.81
33,0.000858,0.000857,98520.7,84.4,47.50,,0.000466,0.000466,99083.2,46.2,50.83
34,0.000905,0.000904,98436.3,89.0,46.54,,0.000521,0.000521,99037.0,51.6,49.86
35,0.000964,0.000964,98347.3,94.8,45.59,,0.000552,0.000552,98985.5,54.6,48.88
36,0.001084,0.001083,98252.5,106.5,44.63,,0.000603,0.000603,98930.9,59.7,47.91
37,0.001145,0.001145,98146.0,112.4,43.68,,0.000715,0.000714,98871.2,70.6,46.94
38,0.001143,0.001142,98033.7,112.0,42.73,,0.000700,0.000700,98800.6,69.2,45.97
39,0.001278,0.001277,97921.7,125.0,41.78,,0.000772,0.000772,98731.4,76.2,45.00
40,0.001414,0.001413,97796.6,138.2,40.83,,0.000815,0.000814,98655.2,80.3,44.04
41,0.001572,0.001571,97658.5,153.4,39.89,,0.000930,0.000929,98574.8,91.6,43.07
42,0.001695,0.001693,97505.1,165.1,38.95,,0.001014,0.001014,98483.2,99.9,42.11
43,0.001953,0.001951,97339.9,189.9,38.01,,0.001123,0.001122,98383.4,110.4,41.15
44,0.002026,0.002024,97150.1,196.6,37.09,,0.001275,0.001274,98273.0,125.2,40.20
45,0.002159,0.002157,96953.4,209.1,36.16,,0.001376,0.001375,98147.8,134.9,39.25
46,0.002298,0.002296,96744.3,222.1,35.24,,0.001482,0.001480,98012.8,145.1,38.30
47,0.002594,0.002591,96522.2,250.0,34.32,,0.001652,0.001651,97867.7,161.5,37.36
48,0.002750,0.002747,96272.2,264.4,33.40,,0.001768,0.001767,97706.2,172.6,36.42
49,0.003009,0.003004,96007.8,288.4,32.50,,0.001897,0.001895,97533.5,184.9,35.48
50,0.003229,0.003224,95719.3,308.6,31.59,,0.002049,0.002047,97348.7,199.3,34.55
51,0.003427,0.003421,95410.7,326.4,30.69,,0.002283,0.002281,97149.4,221.6,33.62
52,0.003751,0.003744,95084.3,356.0,29.80,,0.002485,0.002482,96927.8,240.6,32.70
53,0.003975,0.003967,94728.3,375.8,28.91,,0.002660,0.002657,96687.2,256.9,31.78
54,0.004257,0.004248,94352.5,400.8,28.02,,0.002826,0.002822,96430.3,272.1,30.86
55,0.004743,0.004732,93951.7,444.6,27.14,,0.003168,0.003163,96158.2,304.2,29.95
56,0.005153,0.005140,93507.1,480.6,26.26,,0.003490,0.003484,95854.0,333.9,29.04
57,0.005712,0.005696,93026.5,529.9,25.40,,0.003777,0.003770,95520.0,360.1,28.14
58,0.006271,0.006252,92496.6,578.2,24.54,,0.004188,0.004180,95160.0,397.7,27.24
59,0.006778,0.006755,91918.4,620.9,23.69,,0.004546,0.004536,94762.2,429.9,26.36
60,0.007578,0.007549,91297.5,689.2,22.85,,0.004927,0.004914,94332.4,463.6,25.47
61,0.008271,0.008237,90608.3,746.4,22.02,,0.005447,0.005432,93868.8,509.9,24.60
62,0.009073,0.009032,89861.9,811.6,21.20,,0.006146,0.006128,93358.9,572.1,23.73
63,0.010166,0.010114,89050.2,900.7,20.39,,0.006581,0.006559,92786.8,608.6,22.87
64,0.010939,0.010879,88149.5,959.0,19.59,,0.007114,0.007089,92178.2,653.4,22.02
65,0.011987,0.011916,87190.5,1038.9,18.80,,0.007730,0.007700,91524.8,704.7,21.17
66,0.013171,0.013085,86151.6,1127.3,18.02,,0.008590,0.008553,90820.1,776.8,20.33
67,0.014162,0.014063,85024.3,1195.7,17.25,,0.009215,0.009173,90043.3,825.9,19.50
68,0.015647,0.015525,83828.7,1301.4,16.49,,0.010118,0.010067,89217.3,898.2,18.68
69,0.016820,0.016679,82527.2,1376.5,15.74,,0.011029,0.010969,88319.2,968.7,17.86
70,0.018319,0.018153,81150.7,1473.1,15.00,,0.012142,0.012068,87350.4,1054.2,17.06
71,0.020408,0.020201,79677.6,1609.6,14.27,,0.013421,0.013331,86296.3,1150.4,16.26
72,0.022661,0.022407,78068.0,1749.3,13.55,,0.015583,0.015463,85145.8,1316.6,15.47
73,0.025594,0.025271,76318.7,1928.6,12.85,,0.017139,0.016993,83829.2,1424.5,14.71
74,0.028149,0.027758,74390.1,2064.9,12.17,,0.018846,0.018670,82404.7,1538.5,13.95
75,0.031824,0.031326,72325.2,2265.6,11.51,,0.021607,0.021376,80866.2,1728.6,13.21
76,0.035559,0.034938,70059.5,2447.7,10.86,,0.024534,0.024237,79137.7,1918.1,12.49
77,0.039830,0.039053,67611.8,2640.4,10.24,,0.027288,0.026920,77219.6,2078.8,11.78
78,0.043917,0.042973,64971.4,2792.0,9.63,,0.030791,0.030324,75140.8,2278.6,11.10
79,0.048576,0.047425,62179.4,2948.8,9.04,,0.034086,0.033515,72862.3,2442.0,10.43
80,0.054809,0.053347,59230.5,3159.8,8.47,,0.038629,0.037897,70420.3,2668.7,9.77
81,0.061486,0.059653,56070.8,3344.8,7.92,,0.043871,0.042929,67751.6,2908.5,9.14
82,0.068570,0.066297,52726.0,3495.6,7.39,,0.050063,0.048841,64843.1,3167.0,8.53
83,0.078259,0.075312,49230.4,3707.7,6.88,,0.058144,0.056501,61676.1,3484.8,7.94
84,0.088847,0.085068,45522.7,3872.5,6.40,,0.065726,0.063635,58191.3,3703.0,7.38
85,0.099468,0.094756,41650.2,3946.6,5.94,,0.075416,0.072676,54488.3,3960.0,6.85
86,0.112884,0.106853,37703.6,4028.7,5.51,,0.086400,0.082822,50528.3,4184.9,6.35
87,0.127226,0.119617,33674.9,4028.1,5.11,,0.098721,0.094077,46343.5,4359.9,5.88
88,0.143320,0.133736,29646.8,3964.9,4.74,,0.113032,0.106986,41983.6,4491.7,5.43
89,0.161966,0.149832,25681.9,3848.0,4.39,,0.127605,0.119952,37492.0,4497.2,5.03
90,0.176975,0.162588,21834.0,3549.9,4.08,,0.145324,0.135480,32994.7,4470.1,4.64
91,0.196295,0.178751,18284.0,3268.3,3.78,,0.163794,0.151395,28524.6,4318.5,4.29
92,0.220472,0.198581,15015.7,2981.8,3.49,,0.183254,0.167872,24206.1,4063.5,3.97
93,0.245524,0.218678,12033.9,2631.6,3.23,,0.203979,0.185100,20142.6,3728.4,3.67
94,0.269267,0.237316,9402.3,2231.3,2.99,,0.227785,0.204495,16414.2,3356.6,3.39
95,0.302352,0.262646,7171.0,1883.4,2.77,,0.258112,0.228609,13057.6,2985.1,3.13
96,0.333209,0.285623,5287.6,1510.3,2.58,,0.282314,0.247393,10072.5,2491.9,2.91
97,0.363348,0.307486,3777.3,1161.5,2.41,,0.310398,0.268697,7580.6,2036.9,2.70
98,0.384296,0.322356,2615.9,843.2,2.26,,0.337055,0.288444,5543.7,1599.1,2.51
99,0.443859,0.363244,1772.6,643.9,2.10,,0.373322,0.314599,3944.7,1241.0,2.33
100,0.486350,0.391216,1128.7,441.6,2.01,,0.405058,0.336838,2703.7,910.7,2.16
